Kategorie: Alle Kategorien

Woche,anxiety: (Alabama)
2020-01-05,79
2020-01-12,64
2020-01-19,72
2020-01-26,68
2020-02-02,67
2020-02-09,54
2020-02-16,60
2020-02-23,49
2020-03-01,82
2020-03-08,64
2020-03-15,59
2020-03-22,59
2020-03-29,65
2020-04-05,55
2020-04-12,52
2020-04-19,62
2020-04-26,67
2020-05-03,59
2020-05-10,72
2020-05-17,66
2020-05-24,55
2020-05-31,59
2020-06-07,73
2020-06-14,80
2020-06-21,100
2020-06-28,77
2020-07-05,95
2020-07-12,79
2020-07-19,95
2020-07-26,61
2020-08-02,72
2020-08-09,67
2020-08-16,69
2020-08-23,77
2020-08-30,88
2020-09-06,66
2020-09-13,65
2020-09-20,67
2020-09-27,62
2020-10-04,70
2020-10-11,72
2020-10-18,78
2020-10-25,60
2020-11-01,55
2020-11-08,63
2020-11-15,83
2020-11-22,41
2020-11-29,74
2020-12-06,83
2020-12-13,86
2020-12-20,60
2020-12-27,61
