Kategorie: Alle Kategorien

Woche,anxiety: (Alaska)
2020-01-05,24
2020-01-12,80
2020-01-19,34
2020-01-26,68
2020-02-02,23
2020-02-09,47
2020-02-16,69
2020-02-23,11
2020-03-01,33
2020-03-08,100
2020-03-15,53
2020-03-22,29
2020-03-29,19
2020-04-05,66
2020-04-12,18
2020-04-19,56
2020-04-26,76
2020-05-03,39
2020-05-10,10
2020-05-17,51
2020-05-24,64
2020-05-31,64
2020-06-07,32
2020-06-14,33
2020-06-21,54
2020-06-28,57
2020-07-05,44
2020-07-12,44
2020-07-19,55
2020-07-26,44
2020-08-02,87
2020-08-09,67
2020-08-16,43
2020-08-23,41
2020-08-30,43
2020-09-06,55
2020-09-13,42
2020-09-20,97
2020-09-27,56
2020-10-04,47
2020-10-11,13
2020-10-18,78
2020-10-25,39
2020-11-01,73
2020-11-08,24
2020-11-15,38
2020-11-22,77
2020-11-29,50
2020-12-06,25
2020-12-13,51
2020-12-20,0
2020-12-27,51
