Kategorie: Alle Kategorien

Woche,anxiety: (Connecticut)
2020-01-05,82
2020-01-12,78
2020-01-19,67
2020-01-26,96
2020-02-02,86
2020-02-09,79
2020-02-16,90
2020-02-23,90
2020-03-01,76
2020-03-08,58
2020-03-15,83
2020-03-22,79
2020-03-29,66
2020-04-05,84
2020-04-12,64
2020-04-19,79
2020-04-26,73
2020-05-03,77
2020-05-10,76
2020-05-17,56
2020-05-24,79
2020-05-31,68
2020-06-07,77
2020-06-14,83
2020-06-21,72
2020-06-28,75
2020-07-05,81
2020-07-12,97
2020-07-19,76
2020-07-26,100
2020-08-02,60
2020-08-09,91
2020-08-16,83
2020-08-23,69
2020-08-30,68
2020-09-06,73
2020-09-13,83
2020-09-20,100
2020-09-27,68
2020-10-04,78
2020-10-11,55
2020-10-18,88
2020-10-25,74
2020-11-01,58
2020-11-08,64
2020-11-15,84
2020-11-22,65
2020-11-29,77
2020-12-06,69
2020-12-13,85
2020-12-20,72
2020-12-27,63
