Kategorie: Alle Kategorien

Woche,anxiety: (Delaware)
2020-01-05,60
2020-01-12,58
2020-01-19,69
2020-01-26,67
2020-02-02,59
2020-02-09,22
2020-02-16,100
2020-02-23,85
2020-03-01,77
2020-03-08,56
2020-03-15,41
2020-03-22,64
2020-03-29,62
2020-04-05,44
2020-04-12,67
2020-04-19,54
2020-04-26,86
2020-05-03,12
2020-05-10,62
2020-05-17,73
2020-05-24,69
2020-05-31,36
2020-06-07,56
2020-06-14,76
2020-06-21,33
2020-06-28,52
2020-07-05,67
2020-07-12,34
2020-07-19,94
2020-07-26,75
2020-08-02,48
2020-08-09,68
2020-08-16,55
2020-08-23,54
2020-08-30,74
2020-09-06,66
2020-09-13,38
2020-09-20,52
2020-09-27,90
2020-10-04,36
2020-10-11,69
2020-10-18,86
2020-10-25,62
2020-11-01,59
2020-11-08,88
2020-11-15,75
2020-11-22,61
2020-11-29,36
2020-12-06,44
2020-12-13,37
2020-12-20,63
2020-12-27,15
