Kategorie: Alle Kategorien

Woche,anxiety: (Florida)
2020-01-05,76
2020-01-12,78
2020-01-19,79
2020-01-26,85
2020-02-02,81
2020-02-09,82
2020-02-16,77
2020-02-23,83
2020-03-01,89
2020-03-08,73
2020-03-15,70
2020-03-22,84
2020-03-29,90
2020-04-05,82
2020-04-12,84
2020-04-19,89
2020-04-26,76
2020-05-03,77
2020-05-10,80
2020-05-17,85
2020-05-24,88
2020-05-31,84
2020-06-07,92
2020-06-14,91
2020-06-21,87
2020-06-28,86
2020-07-05,100
2020-07-12,91
2020-07-19,82
2020-07-26,88
2020-08-02,88
2020-08-09,92
2020-08-16,95
2020-08-23,83
2020-08-30,87
2020-09-06,93
2020-09-13,85
2020-09-20,79
2020-09-27,87
2020-10-04,99
2020-10-11,98
2020-10-18,76
2020-10-25,85
2020-11-01,74
2020-11-08,80
2020-11-15,93
2020-11-22,78
2020-11-29,87
2020-12-06,87
2020-12-13,77
2020-12-20,76
2020-12-27,69
