Kategorie: Alle Kategorien

Woche,anxiety: (Georgia)
2020-01-05,87
2020-01-12,87
2020-01-19,79
2020-01-26,81
2020-02-02,72
2020-02-09,84
2020-02-16,78
2020-02-23,79
2020-03-01,79
2020-03-08,73
2020-03-15,63
2020-03-22,69
2020-03-29,82
2020-04-05,80
2020-04-12,75
2020-04-19,72
2020-04-26,83
2020-05-03,78
2020-05-10,60
2020-05-17,75
2020-05-24,73
2020-05-31,80
2020-06-07,92
2020-06-14,85
2020-06-21,98
2020-06-28,83
2020-07-05,91
2020-07-12,85
2020-07-19,92
2020-07-26,76
2020-08-02,74
2020-08-09,91
2020-08-16,87
2020-08-23,78
2020-08-30,87
2020-09-06,82
2020-09-13,92
2020-09-20,76
2020-09-27,89
2020-10-04,90
2020-10-11,85
2020-10-18,79
2020-10-25,89
2020-11-01,59
2020-11-08,100
2020-11-15,93
2020-11-22,83
2020-11-29,79
2020-12-06,85
2020-12-13,71
2020-12-20,68
2020-12-27,88
