Kategorie: Alle Kategorien

Woche,anxiety: (Illinois)
2020-01-05,81
2020-01-12,71
2020-01-19,84
2020-01-26,85
2020-02-02,91
2020-02-09,87
2020-02-16,81
2020-02-23,87
2020-03-01,77
2020-03-08,80
2020-03-15,72
2020-03-22,77
2020-03-29,81
2020-04-05,83
2020-04-12,68
2020-04-19,73
2020-04-26,100
2020-05-03,85
2020-05-10,77
2020-05-17,81
2020-05-24,75
2020-05-31,63
2020-06-07,68
2020-06-14,82
2020-06-21,74
2020-06-28,78
2020-07-05,77
2020-07-12,82
2020-07-19,84
2020-07-26,89
2020-08-02,88
2020-08-09,81
2020-08-16,83
2020-08-23,89
2020-08-30,91
2020-09-06,80
2020-09-13,73
2020-09-20,80
2020-09-27,73
2020-10-04,68
2020-10-11,90
2020-10-18,85
2020-10-25,77
2020-11-01,74
2020-11-08,89
2020-11-15,85
2020-11-22,86
2020-11-29,83
2020-12-06,84
2020-12-13,85
2020-12-20,65
2020-12-27,90
