Kategorie: Alle Kategorien

Woche,anxiety: (Indiana)
2020-01-05,74
2020-01-12,88
2020-01-19,81
2020-01-26,76
2020-02-02,66
2020-02-09,87
2020-02-16,100
2020-02-23,71
2020-03-01,82
2020-03-08,68
2020-03-15,75
2020-03-22,67
2020-03-29,69
2020-04-05,69
2020-04-12,59
2020-04-19,74
2020-04-26,64
2020-05-03,78
2020-05-10,81
2020-05-17,73
2020-05-24,70
2020-05-31,67
2020-06-07,83
2020-06-14,62
2020-06-21,78
2020-06-28,55
2020-07-05,69
2020-07-12,81
2020-07-19,75
2020-07-26,79
2020-08-02,85
2020-08-09,76
2020-08-16,58
2020-08-23,73
2020-08-30,81
2020-09-06,99
2020-09-13,74
2020-09-20,85
2020-09-27,83
2020-10-04,98
2020-10-11,63
2020-10-18,72
2020-10-25,84
2020-11-01,80
2020-11-08,80
2020-11-15,64
2020-11-22,72
2020-11-29,71
2020-12-06,83
2020-12-13,65
2020-12-20,77
2020-12-27,60
