Kategorie: Alle Kategorien

Woche,anxiety: (Iowa)
2020-01-05,47
2020-01-12,67
2020-01-19,78
2020-01-26,89
2020-02-02,87
2020-02-09,69
2020-02-16,75
2020-02-23,79
2020-03-01,61
2020-03-08,63
2020-03-15,66
2020-03-22,53
2020-03-29,47
2020-04-05,58
2020-04-12,54
2020-04-19,67
2020-04-26,63
2020-05-03,58
2020-05-10,53
2020-05-17,80
2020-05-24,46
2020-05-31,66
2020-06-07,61
2020-06-14,59
2020-06-21,75
2020-06-28,70
2020-07-05,92
2020-07-12,87
2020-07-19,62
2020-07-26,81
2020-08-02,79
2020-08-09,43
2020-08-16,58
2020-08-23,56
2020-08-30,58
2020-09-06,85
2020-09-13,64
2020-09-20,84
2020-09-27,74
2020-10-04,79
2020-10-11,67
2020-10-18,65
2020-10-25,82
2020-11-01,77
2020-11-08,82
2020-11-15,71
2020-11-22,71
2020-11-29,100
2020-12-06,83
2020-12-13,53
2020-12-20,50
2020-12-27,69
