Kategorie: Alle Kategorien

Woche,anxiety: (Louisiana)
2020-01-05,61
2020-01-12,78
2020-01-19,70
2020-01-26,79
2020-02-02,65
2020-02-09,64
2020-02-16,65
2020-02-23,68
2020-03-01,77
2020-03-08,77
2020-03-15,52
2020-03-22,88
2020-03-29,100
2020-04-05,78
2020-04-12,65
2020-04-19,56
2020-04-26,71
2020-05-03,65
2020-05-10,69
2020-05-17,60
2020-05-24,51
2020-05-31,67
2020-06-07,75
2020-06-14,64
2020-06-21,57
2020-06-28,47
2020-07-05,51
2020-07-12,77
2020-07-19,90
2020-07-26,69
2020-08-02,45
2020-08-09,94
2020-08-16,56
2020-08-23,65
2020-08-30,78
2020-09-06,81
2020-09-13,63
2020-09-20,52
2020-09-27,59
2020-10-04,62
2020-10-11,86
2020-10-18,76
2020-10-25,64
2020-11-01,39
2020-11-08,56
2020-11-15,89
2020-11-22,57
2020-11-29,61
2020-12-06,64
2020-12-13,71
2020-12-20,64
2020-12-27,69
