Kategorie: Alle Kategorien

Woche,anxiety: (Maine)
2020-01-05,73
2020-01-12,84
2020-01-19,94
2020-01-26,50
2020-02-02,49
2020-02-09,65
2020-02-16,99
2020-02-23,77
2020-03-01,58
2020-03-08,53
2020-03-15,49
2020-03-22,55
2020-03-29,65
2020-04-05,79
2020-04-12,77
2020-04-19,80
2020-04-26,69
2020-05-03,66
2020-05-10,34
2020-05-17,66
2020-05-24,74
2020-05-31,55
2020-06-07,39
2020-06-14,56
2020-06-21,71
2020-06-28,74
2020-07-05,53
2020-07-12,67
2020-07-19,54
2020-07-26,53
2020-08-02,67
2020-08-09,58
2020-08-16,72
2020-08-23,78
2020-08-30,31
2020-09-06,75
2020-09-13,68
2020-09-20,76
2020-09-27,75
2020-10-04,73
2020-10-11,75
2020-10-18,67
2020-10-25,66
2020-11-01,45
2020-11-08,74
2020-11-15,71
2020-11-22,81
2020-11-29,75
2020-12-06,59
2020-12-13,67
2020-12-20,66
2020-12-27,100
