Kategorie: Alle Kategorien

Woche,anxiety: (Maryland)
2020-01-05,53
2020-01-12,59
2020-01-19,87
2020-01-26,86
2020-02-02,69
2020-02-09,97
2020-02-16,69
2020-02-23,78
2020-03-01,71
2020-03-08,83
2020-03-15,53
2020-03-22,78
2020-03-29,74
2020-04-05,88
2020-04-12,79
2020-04-19,74
2020-04-26,66
2020-05-03,68
2020-05-10,65
2020-05-17,83
2020-05-24,66
2020-05-31,71
2020-06-07,87
2020-06-14,77
2020-06-21,79
2020-06-28,63
2020-07-05,77
2020-07-12,86
2020-07-19,74
2020-07-26,85
2020-08-02,100
2020-08-09,98
2020-08-16,75
2020-08-23,79
2020-08-30,75
2020-09-06,74
2020-09-13,76
2020-09-20,87
2020-09-27,79
2020-10-04,76
2020-10-11,86
2020-10-18,80
2020-10-25,82
2020-11-01,80
2020-11-08,90
2020-11-15,87
2020-11-22,94
2020-11-29,76
2020-12-06,84
2020-12-13,68
2020-12-20,66
2020-12-27,75
