Kategorie: Alle Kategorien

Woche,anxiety: (Massachusetts)
2020-01-05,92
2020-01-12,70
2020-01-19,94
2020-01-26,67
2020-02-02,91
2020-02-09,86
2020-02-16,96
2020-02-23,85
2020-03-01,78
2020-03-08,88
2020-03-15,74
2020-03-22,60
2020-03-29,89
2020-04-05,78
2020-04-12,78
2020-04-19,83
2020-04-26,73
2020-05-03,70
2020-05-10,70
2020-05-17,74
2020-05-24,73
2020-05-31,66
2020-06-07,73
2020-06-14,75
2020-06-21,73
2020-06-28,78
2020-07-05,75
2020-07-12,100
2020-07-19,85
2020-07-26,81
2020-08-02,83
2020-08-09,83
2020-08-16,94
2020-08-23,78
2020-08-30,84
2020-09-06,80
2020-09-13,85
2020-09-20,71
2020-09-27,88
2020-10-04,77
2020-10-11,70
2020-10-18,83
2020-10-25,78
2020-11-01,70
2020-11-08,98
2020-11-15,84
2020-11-22,58
2020-11-29,81
2020-12-06,70
2020-12-13,84
2020-12-20,73
2020-12-27,66
