Kategorie: Alle Kategorien

Woche,anxiety: (Minnesota)
2020-01-05,82
2020-01-12,73
2020-01-19,78
2020-01-26,100
2020-02-02,84
2020-02-09,71
2020-02-16,72
2020-02-23,81
2020-03-01,67
2020-03-08,55
2020-03-15,68
2020-03-22,67
2020-03-29,73
2020-04-05,71
2020-04-12,61
2020-04-19,62
2020-04-26,83
2020-05-03,69
2020-05-10,82
2020-05-17,57
2020-05-24,57
2020-05-31,49
2020-06-07,74
2020-06-14,60
2020-06-21,85
2020-06-28,78
2020-07-05,83
2020-07-12,85
2020-07-19,61
2020-07-26,55
2020-08-02,58
2020-08-09,70
2020-08-16,74
2020-08-23,68
2020-08-30,73
2020-09-06,70
2020-09-13,75
2020-09-20,76
2020-09-27,79
2020-10-04,86
2020-10-11,47
2020-10-18,78
2020-10-25,54
2020-11-01,63
2020-11-08,81
2020-11-15,96
2020-11-22,60
2020-11-29,77
2020-12-06,70
2020-12-13,81
2020-12-20,66
2020-12-27,74
