Kategorie: Alle Kategorien

Woche,anxiety: (Mississippi)
2020-01-05,52
2020-01-12,76
2020-01-19,76
2020-01-26,67
2020-02-02,54
2020-02-09,67
2020-02-16,87
2020-02-23,62
2020-03-01,73
2020-03-08,20
2020-03-15,69
2020-03-22,60
2020-03-29,62
2020-04-05,63
2020-04-12,45
2020-04-19,51
2020-04-26,67
2020-05-03,76
2020-05-10,95
2020-05-17,45
2020-05-24,59
2020-05-31,51
2020-06-07,57
2020-06-14,50
2020-06-21,74
2020-06-28,58
2020-07-05,45
2020-07-12,58
2020-07-19,67
2020-07-26,52
2020-08-02,45
2020-08-09,53
2020-08-16,100
2020-08-23,61
2020-08-30,42
2020-09-06,64
2020-09-13,55
2020-09-20,85
2020-09-27,79
2020-10-04,57
2020-10-11,60
2020-10-18,67
2020-10-25,84
2020-11-01,72
2020-11-08,66
2020-11-15,65
2020-11-22,56
2020-11-29,53
2020-12-06,54
2020-12-13,68
2020-12-20,36
2020-12-27,41
