Kategorie: Alle Kategorien

Woche,anxiety: (Missouri)
2020-01-05,77
2020-01-12,81
2020-01-19,65
2020-01-26,69
2020-02-02,73
2020-02-09,65
2020-02-16,75
2020-02-23,81
2020-03-01,74
2020-03-08,60
2020-03-15,80
2020-03-22,91
2020-03-29,73
2020-04-05,63
2020-04-12,52
2020-04-19,68
2020-04-26,71
2020-05-03,68
2020-05-10,76
2020-05-17,75
2020-05-24,61
2020-05-31,78
2020-06-07,83
2020-06-14,94
2020-06-21,61
2020-06-28,83
2020-07-05,85
2020-07-12,87
2020-07-19,100
2020-07-26,75
2020-08-02,55
2020-08-09,57
2020-08-16,86
2020-08-23,68
2020-08-30,71
2020-09-06,56
2020-09-13,81
2020-09-20,78
2020-09-27,71
2020-10-04,70
2020-10-11,74
2020-10-18,81
2020-10-25,75
2020-11-01,93
2020-11-08,83
2020-11-15,87
2020-11-22,67
2020-11-29,88
2020-12-06,71
2020-12-13,90
2020-12-20,52
2020-12-27,78
