Kategorie: Alle Kategorien

Woche,anxiety: (Montana)
2020-01-05,62
2020-01-12,71
2020-01-19,61
2020-01-26,46
2020-02-02,53
2020-02-09,33
2020-02-16,72
2020-02-23,57
2020-03-01,19
2020-03-08,92
2020-03-15,49
2020-03-22,55
2020-03-29,48
2020-04-05,51
2020-04-12,48
2020-04-19,33
2020-04-26,23
2020-05-03,40
2020-05-10,57
2020-05-17,23
2020-05-24,62
2020-05-31,35
2020-06-07,48
2020-06-14,48
2020-06-21,75
2020-06-28,49
2020-07-05,19
2020-07-12,50
2020-07-19,38
2020-07-26,44
2020-08-02,74
2020-08-09,100
2020-08-16,73
2020-08-23,84
2020-08-30,88
2020-09-06,24
2020-09-13,23
2020-09-20,41
2020-09-27,13
2020-10-04,59
2020-10-11,62
2020-10-18,34
2020-10-25,35
2020-11-01,46
2020-11-08,26
2020-11-15,61
2020-11-22,63
2020-11-29,68
2020-12-06,49
2020-12-13,76
2020-12-20,52
2020-12-27,75
