Kategorie: Alle Kategorien

Woche,anxiety: (Nebraska)
2020-01-05,56
2020-01-12,39
2020-01-19,60
2020-01-26,67
2020-02-02,92
2020-02-09,67
2020-02-16,62
2020-02-23,77
2020-03-01,62
2020-03-08,56
2020-03-15,62
2020-03-22,53
2020-03-29,71
2020-04-05,69
2020-04-12,42
2020-04-19,46
2020-04-26,50
2020-05-03,31
2020-05-10,60
2020-05-17,61
2020-05-24,53
2020-05-31,58
2020-06-07,64
2020-06-14,55
2020-06-21,42
2020-06-28,76
2020-07-05,47
2020-07-12,83
2020-07-19,40
2020-07-26,40
2020-08-02,54
2020-08-09,66
2020-08-16,51
2020-08-23,58
2020-08-30,62
2020-09-06,47
2020-09-13,58
2020-09-20,77
2020-09-27,75
2020-10-04,62
2020-10-11,24
2020-10-18,81
2020-10-25,66
2020-11-01,83
2020-11-08,74
2020-11-15,72
2020-11-22,38
2020-11-29,64
2020-12-06,68
2020-12-13,100
2020-12-20,53
2020-12-27,50
