Kategorie: Alle Kategorien

Woche,anxiety: (New Hampshire)
2020-01-05,37
2020-01-12,58
2020-01-19,84
2020-01-26,41
2020-02-02,57
2020-02-09,62
2020-02-16,82
2020-02-23,88
2020-03-01,39
2020-03-08,60
2020-03-15,64
2020-03-22,67
2020-03-29,58
2020-04-05,51
2020-04-12,43
2020-04-19,62
2020-04-26,51
2020-05-03,62
2020-05-10,49
2020-05-17,30
2020-05-24,58
2020-05-31,74
2020-06-07,50
2020-06-14,44
2020-06-21,69
2020-06-28,56
2020-07-05,62
2020-07-12,58
2020-07-19,72
2020-07-26,93
2020-08-02,54
2020-08-09,100
2020-08-16,63
2020-08-23,61
2020-08-30,41
2020-09-06,57
2020-09-13,68
2020-09-20,48
2020-09-27,85
2020-10-04,40
2020-10-11,71
2020-10-18,58
2020-10-25,43
2020-11-01,68
2020-11-08,69
2020-11-15,56
2020-11-22,56
2020-11-29,63
2020-12-06,60
2020-12-13,57
2020-12-20,69
2020-12-27,55
