Kategorie: Alle Kategorien

Woche,anxiety: (New Jersey)
2020-01-05,85
2020-01-12,90
2020-01-19,72
2020-01-26,74
2020-02-02,75
2020-02-09,85
2020-02-16,82
2020-02-23,71
2020-03-01,83
2020-03-08,79
2020-03-15,77
2020-03-22,89
2020-03-29,100
2020-04-05,91
2020-04-12,80
2020-04-19,89
2020-04-26,84
2020-05-03,81
2020-05-10,77
2020-05-17,80
2020-05-24,72
2020-05-31,85
2020-06-07,94
2020-06-14,85
2020-06-21,100
2020-06-28,75
2020-07-05,87
2020-07-12,72
2020-07-19,86
2020-07-26,81
2020-08-02,93
2020-08-09,90
2020-08-16,89
2020-08-23,81
2020-08-30,87
2020-09-06,80
2020-09-13,96
2020-09-20,89
2020-09-27,77
2020-10-04,84
2020-10-11,90
2020-10-18,88
2020-10-25,88
2020-11-01,79
2020-11-08,85
2020-11-15,81
2020-11-22,89
2020-11-29,91
2020-12-06,86
2020-12-13,94
2020-12-20,66
2020-12-27,83
