Kategorie: Alle Kategorien

Woche,anxiety: (New York)
2020-01-05,93
2020-01-12,79
2020-01-19,81
2020-01-26,76
2020-02-02,75
2020-02-09,73
2020-02-16,88
2020-02-23,80
2020-03-01,89
2020-03-08,82
2020-03-15,88
2020-03-22,84
2020-03-29,100
2020-04-05,83
2020-04-12,78
2020-04-19,79
2020-04-26,86
2020-05-03,76
2020-05-10,70
2020-05-17,75
2020-05-24,76
2020-05-31,77
2020-06-07,84
2020-06-14,86
2020-06-21,77
2020-06-28,93
2020-07-05,82
2020-07-12,88
2020-07-19,78
2020-07-26,87
2020-08-02,73
2020-08-09,77
2020-08-16,87
2020-08-23,88
2020-08-30,92
2020-09-06,77
2020-09-13,80
2020-09-20,84
2020-09-27,76
2020-10-04,75
2020-10-11,84
2020-10-18,89
2020-10-25,70
2020-11-01,80
2020-11-08,78
2020-11-15,82
2020-11-22,82
2020-11-29,91
2020-12-06,85
2020-12-13,82
2020-12-20,73
2020-12-27,83
