Kategorie: Alle Kategorien

Woche,anxiety: (North Carolina)
2020-01-05,81
2020-01-12,66
2020-01-19,75
2020-01-26,86
2020-02-02,73
2020-02-09,83
2020-02-16,65
2020-02-23,69
2020-03-01,80
2020-03-08,64
2020-03-15,66
2020-03-22,60
2020-03-29,76
2020-04-05,72
2020-04-12,61
2020-04-19,57
2020-04-26,63
2020-05-03,71
2020-05-10,61
2020-05-17,63
2020-05-24,68
2020-05-31,51
2020-06-07,59
2020-06-14,75
2020-06-21,84
2020-06-28,76
2020-07-05,84
2020-07-12,67
2020-07-19,83
2020-07-26,66
2020-08-02,75
2020-08-09,63
2020-08-16,79
2020-08-23,77
2020-08-30,82
2020-09-06,84
2020-09-13,80
2020-09-20,74
2020-09-27,69
2020-10-04,69
2020-10-11,77
2020-10-18,77
2020-10-25,66
2020-11-01,74
2020-11-08,95
2020-11-15,100
2020-11-22,67
2020-11-29,74
2020-12-06,65
2020-12-13,82
2020-12-20,63
2020-12-27,65
