Kategorie: Alle Kategorien

Woche,anxiety: (Ohio)
2020-01-05,79
2020-01-12,83
2020-01-19,81
2020-01-26,73
2020-02-02,82
2020-02-09,77
2020-02-16,88
2020-02-23,78
2020-03-01,82
2020-03-08,74
2020-03-15,68
2020-03-22,74
2020-03-29,74
2020-04-05,68
2020-04-12,65
2020-04-19,71
2020-04-26,68
2020-05-03,75
2020-05-10,59
2020-05-17,83
2020-05-24,67
2020-05-31,75
2020-06-07,80
2020-06-14,67
2020-06-21,80
2020-06-28,85
2020-07-05,82
2020-07-12,68
2020-07-19,78
2020-07-26,82
2020-08-02,79
2020-08-09,79
2020-08-16,76
2020-08-23,88
2020-08-30,69
2020-09-06,83
2020-09-13,93
2020-09-20,79
2020-09-27,100
2020-10-04,95
2020-10-11,85
2020-10-18,61
2020-10-25,78
2020-11-01,75
2020-11-08,88
2020-11-15,86
2020-11-22,77
2020-11-29,71
2020-12-06,97
2020-12-13,86
2020-12-20,67
2020-12-27,71
