Kategorie: Alle Kategorien

Woche,anxiety: (Oregon)
2020-01-05,79
2020-01-12,62
2020-01-19,70
2020-01-26,59
2020-02-02,67
2020-02-09,80
2020-02-16,75
2020-02-23,100
2020-03-01,76
2020-03-08,76
2020-03-15,63
2020-03-22,59
2020-03-29,71
2020-04-05,48
2020-04-12,54
2020-04-19,62
2020-04-26,80
2020-05-03,60
2020-05-10,78
2020-05-17,65
2020-05-24,43
2020-05-31,59
2020-06-07,51
2020-06-14,79
2020-06-21,71
2020-06-28,77
2020-07-05,77
2020-07-12,73
2020-07-19,77
2020-07-26,67
2020-08-02,68
2020-08-09,83
2020-08-16,59
2020-08-23,87
2020-08-30,63
2020-09-06,46
2020-09-13,63
2020-09-20,69
2020-09-27,63
2020-10-04,75
2020-10-11,81
2020-10-18,72
2020-10-25,68
2020-11-01,69
2020-11-08,68
2020-11-15,48
2020-11-22,57
2020-11-29,50
2020-12-06,79
2020-12-13,82
2020-12-20,62
2020-12-27,42
