Kategorie: Alle Kategorien

Woche,anxiety: (Pennsylvania)
2020-01-05,88
2020-01-12,92
2020-01-19,100
2020-01-26,74
2020-02-02,87
2020-02-09,77
2020-02-16,88
2020-02-23,96
2020-03-01,92
2020-03-08,77
2020-03-15,69
2020-03-22,96
2020-03-29,84
2020-04-05,90
2020-04-12,73
2020-04-19,62
2020-04-26,78
2020-05-03,76
2020-05-10,77
2020-05-17,80
2020-05-24,70
2020-05-31,76
2020-06-07,75
2020-06-14,85
2020-06-21,90
2020-06-28,88
2020-07-05,92
2020-07-12,87
2020-07-19,100
2020-07-26,90
2020-08-02,79
2020-08-09,93
2020-08-16,81
2020-08-23,96
2020-08-30,82
2020-09-06,89
2020-09-13,84
2020-09-20,87
2020-09-27,76
2020-10-04,89
2020-10-11,93
2020-10-18,88
2020-10-25,87
2020-11-01,82
2020-11-08,89
2020-11-15,80
2020-11-22,82
2020-11-29,88
2020-12-06,94
2020-12-13,79
2020-12-20,74
2020-12-27,87
