Kategorie: Alle Kategorien

Woche,anxiety: (Rhode Island)
2020-01-05,64
2020-01-12,44
2020-01-19,45
2020-01-26,76
2020-02-02,84
2020-02-09,71
2020-02-16,43
2020-02-23,59
2020-03-01,54
2020-03-08,65
2020-03-15,66
2020-03-22,82
2020-03-29,42
2020-04-05,30
2020-04-12,62
2020-04-19,81
2020-04-26,37
2020-05-03,45
2020-05-10,67
2020-05-17,62
2020-05-24,73
2020-05-31,29
2020-06-07,34
2020-06-14,77
2020-06-21,78
2020-06-28,60
2020-07-05,47
2020-07-12,75
2020-07-19,61
2020-07-26,52
2020-08-02,70
2020-08-09,33
2020-08-16,90
2020-08-23,46
2020-08-30,69
2020-09-06,41
2020-09-13,69
2020-09-20,49
2020-09-27,65
2020-10-04,72
2020-10-11,70
2020-10-18,32
2020-10-25,42
2020-11-01,44
2020-11-08,70
2020-11-15,49
2020-11-22,46
2020-11-29,55
2020-12-06,100
2020-12-13,59
2020-12-20,31
2020-12-27,82
