Kategorie: Alle Kategorien

Woche,anxiety: (South Carolina)
2020-01-05,70
2020-01-12,79
2020-01-19,63
2020-01-26,75
2020-02-02,61
2020-02-09,59
2020-02-16,77
2020-02-23,70
2020-03-01,68
2020-03-08,63
2020-03-15,62
2020-03-22,82
2020-03-29,81
2020-04-05,75
2020-04-12,70
2020-04-19,72
2020-04-26,71
2020-05-03,73
2020-05-10,67
2020-05-17,75
2020-05-24,63
2020-05-31,45
2020-06-07,77
2020-06-14,76
2020-06-21,70
2020-06-28,91
2020-07-05,81
2020-07-12,72
2020-07-19,51
2020-07-26,70
2020-08-02,71
2020-08-09,59
2020-08-16,100
2020-08-23,62
2020-08-30,77
2020-09-06,77
2020-09-13,81
2020-09-20,68
2020-09-27,90
2020-10-04,76
2020-10-11,67
2020-10-18,80
2020-10-25,74
2020-11-01,67
2020-11-08,90
2020-11-15,97
2020-11-22,59
2020-11-29,89
2020-12-06,70
2020-12-13,83
2020-12-20,50
2020-12-27,70
