Kategorie: Alle Kategorien

Woche,anxiety: (Tennessee)
2020-01-05,85
2020-01-12,70
2020-01-19,75
2020-01-26,77
2020-02-02,61
2020-02-09,73
2020-02-16,98
2020-02-23,86
2020-03-01,89
2020-03-08,73
2020-03-15,70
2020-03-22,77
2020-03-29,64
2020-04-05,87
2020-04-12,51
2020-04-19,58
2020-04-26,79
2020-05-03,72
2020-05-10,72
2020-05-17,61
2020-05-24,64
2020-05-31,68
2020-06-07,66
2020-06-14,74
2020-06-21,82
2020-06-28,71
2020-07-05,92
2020-07-12,87
2020-07-19,89
2020-07-26,74
2020-08-02,74
2020-08-09,68
2020-08-16,73
2020-08-23,85
2020-08-30,82
2020-09-06,77
2020-09-13,83
2020-09-20,82
2020-09-27,89
2020-10-04,84
2020-10-11,88
2020-10-18,87
2020-10-25,100
2020-11-01,80
2020-11-08,77
2020-11-15,80
2020-11-22,73
2020-11-29,85
2020-12-06,77
2020-12-13,75
2020-12-20,84
2020-12-27,73
