Kategorie: Alle Kategorien

Woche,anxiety: (Texas)
2020-01-05,77
2020-01-12,92
2020-01-19,71
2020-01-26,82
2020-02-02,82
2020-02-09,84
2020-02-16,90
2020-02-23,80
2020-03-01,84
2020-03-08,83
2020-03-15,70
2020-03-22,83
2020-03-29,88
2020-04-05,94
2020-04-12,71
2020-04-19,87
2020-04-26,84
2020-05-03,80
2020-05-10,89
2020-05-17,73
2020-05-24,77
2020-05-31,75
2020-06-07,87
2020-06-14,93
2020-06-21,90
2020-06-28,92
2020-07-05,98
2020-07-12,97
2020-07-19,88
2020-07-26,93
2020-08-02,91
2020-08-09,100
2020-08-16,83
2020-08-23,79
2020-08-30,95
2020-09-06,84
2020-09-13,90
2020-09-20,85
2020-09-27,92
2020-10-04,83
2020-10-11,91
2020-10-18,97
2020-10-25,84
2020-11-01,73
2020-11-08,86
2020-11-15,91
2020-11-22,85
2020-11-29,85
2020-12-06,85
2020-12-13,90
2020-12-20,74
2020-12-27,89
