Kategorie: Alle Kategorien

Woche,anxiety: (Vermont)
2020-01-05,78
2020-01-12,57
2020-01-19,50
2020-01-26,50
2020-02-02,16
2020-02-09,50
2020-02-16,62
2020-02-23,100
2020-03-01,86
2020-03-08,32
2020-03-15,67
2020-03-22,43
2020-03-29,42
2020-04-05,55
2020-04-12,42
2020-04-19,78
2020-04-26,69
2020-05-03,34
2020-05-10,21
2020-05-17,46
2020-05-24,45
2020-05-31,29
2020-06-07,23
2020-06-14,56
2020-06-21,72
2020-06-28,63
2020-07-05,24
2020-07-12,16
2020-07-19,41
2020-07-26,32
2020-08-02,32
2020-08-09,40
2020-08-16,48
2020-08-23,77
2020-08-30,62
2020-09-06,61
2020-09-13,60
2020-09-20,16
2020-09-27,40
2020-10-04,41
2020-10-11,55
2020-10-18,66
2020-10-25,46
2020-11-01,16
2020-11-08,54
2020-11-15,46
2020-11-22,27
2020-11-29,28
2020-12-06,37
2020-12-13,28
2020-12-20,38
2020-12-27,42
