Kategorie: Alle Kategorien

Woche,anxiety: (Virginia)
2020-01-05,70
2020-01-12,87
2020-01-19,100
2020-01-26,84
2020-02-02,83
2020-02-09,68
2020-02-16,79
2020-02-23,76
2020-03-01,86
2020-03-08,57
2020-03-15,77
2020-03-22,73
2020-03-29,75
2020-04-05,66
2020-04-12,67
2020-04-19,76
2020-04-26,91
2020-05-03,64
2020-05-10,82
2020-05-17,62
2020-05-24,78
2020-05-31,61
2020-06-07,67
2020-06-14,64
2020-06-21,81
2020-06-28,66
2020-07-05,85
2020-07-12,85
2020-07-19,83
2020-07-26,72
2020-08-02,57
2020-08-09,66
2020-08-16,63
2020-08-23,80
2020-08-30,91
2020-09-06,77
2020-09-13,59
2020-09-20,93
2020-09-27,86
2020-10-04,76
2020-10-11,77
2020-10-18,71
2020-10-25,70
2020-11-01,69
2020-11-08,65
2020-11-15,83
2020-11-22,66
2020-11-29,65
2020-12-06,79
2020-12-13,76
2020-12-20,71
2020-12-27,79
