Kategorie: Alle Kategorien

Woche,anxiety: (Wisconsin)
2020-01-05,66
2020-01-12,91
2020-01-19,65
2020-01-26,89
2020-02-02,78
2020-02-09,60
2020-02-16,100
2020-02-23,85
2020-03-01,70
2020-03-08,82
2020-03-15,55
2020-03-22,63
2020-03-29,69
2020-04-05,76
2020-04-12,74
2020-04-19,57
2020-04-26,77
2020-05-03,65
2020-05-10,66
2020-05-17,66
2020-05-24,57
2020-05-31,60
2020-06-07,64
2020-06-14,57
2020-06-21,56
2020-06-28,86
2020-07-05,86
2020-07-12,73
2020-07-19,72
2020-07-26,65
2020-08-02,62
2020-08-09,80
2020-08-16,58
2020-08-23,79
2020-08-30,62
2020-09-06,70
2020-09-13,67
2020-09-20,65
2020-09-27,72
2020-10-04,77
2020-10-11,73
2020-10-18,76
2020-10-25,69
2020-11-01,61
2020-11-08,77
2020-11-15,91
2020-11-22,76
2020-11-29,62
2020-12-06,84
2020-12-13,84
2020-12-20,74
2020-12-27,60
