Kategorie: Alle Kategorien

Woche,anxiety: (Wyoming)
2020-01-05,37
2020-01-12,35
2020-01-19,25
2020-01-26,83
2020-02-02,57
2020-02-09,59
2020-02-16,69
2020-02-23,45
2020-03-01,0
2020-03-08,43
2020-03-15,22
2020-03-22,0
2020-03-29,40
2020-04-05,70
2020-04-12,19
2020-04-19,30
2020-04-26,40
2020-05-03,30
2020-05-10,41
2020-05-17,32
2020-05-24,23
2020-05-31,11
2020-06-07,43
2020-06-14,33
2020-06-21,11
2020-06-28,44
2020-07-05,77
2020-07-12,44
2020-07-19,22
2020-07-26,44
2020-08-02,55
2020-08-09,22
2020-08-16,32
2020-08-23,55
2020-08-30,44
2020-09-06,87
2020-09-13,43
2020-09-20,22
2020-09-27,69
2020-10-04,24
2020-10-11,25
2020-10-18,13
2020-10-25,37
2020-11-01,32
2020-11-08,48
2020-11-15,50
2020-11-22,64
2020-11-29,100
2020-12-06,100
2020-12-13,88
2020-12-20,52
2020-12-27,12
