Kategorie: Alle Kategorien

Woche,depression: (Alabama)
2020-01-05,69
2020-01-12,80
2020-01-19,67
2020-01-26,66
2020-02-02,98
2020-02-09,94
2020-02-16,61
2020-02-23,100
2020-03-01,70
2020-03-08,77
2020-03-15,64
2020-03-22,86
2020-03-29,52
2020-04-05,87
2020-04-12,85
2020-04-19,80
2020-04-26,73
2020-05-03,71
2020-05-10,56
2020-05-17,58
2020-05-24,59
2020-05-31,74
2020-06-07,66
2020-06-14,78
2020-06-21,87
2020-06-28,49
2020-07-05,89
2020-07-12,36
2020-07-19,65
2020-07-26,68
2020-08-02,50
2020-08-09,56
2020-08-16,62
2020-08-23,67
2020-08-30,62
2020-09-06,77
2020-09-13,75
2020-09-20,77
2020-09-27,47
2020-10-04,74
2020-10-11,69
2020-10-18,73
2020-10-25,97
2020-11-01,36
2020-11-08,44
2020-11-15,74
2020-11-22,63
2020-11-29,79
2020-12-06,55
2020-12-13,64
2020-12-20,51
2020-12-27,42
