Kategorie: Alle Kategorien

Woche,depression: (Alaska)
2020-01-05,100
2020-01-12,11
2020-01-19,86
2020-01-26,42
2020-02-02,43
2020-02-09,33
2020-02-16,22
2020-02-23,62
2020-03-01,51
2020-03-08,52
2020-03-15,70
2020-03-22,36
2020-03-29,35
2020-04-05,53
2020-04-12,60
2020-04-19,52
2020-04-26,53
2020-05-03,27
2020-05-10,38
2020-05-17,19
2020-05-24,20
2020-05-31,40
2020-06-07,20
2020-06-14,30
2020-06-21,71
2020-06-28,43
2020-07-05,21
2020-07-12,31
2020-07-19,51
2020-07-26,21
2020-08-02,31
2020-08-09,52
2020-08-16,51
2020-08-23,68
2020-08-30,30
2020-09-06,31
2020-09-13,59
2020-09-20,30
2020-09-27,32
2020-10-04,22
2020-10-11,0
2020-10-18,36
2020-10-25,12
2020-11-01,20
2020-11-08,46
2020-11-15,35
2020-11-22,96
2020-11-29,70
2020-12-06,35
2020-12-13,36
2020-12-20,39
2020-12-27,12
