Kategorie: Alle Kategorien

Woche,depression: (Arizona)
2020-01-05,74
2020-01-12,85
2020-01-19,74
2020-01-26,71
2020-02-02,83
2020-02-09,90
2020-02-16,78
2020-02-23,91
2020-03-01,92
2020-03-08,86
2020-03-15,86
2020-03-22,82
2020-03-29,100
2020-04-05,93
2020-04-12,88
2020-04-19,75
2020-04-26,85
2020-05-03,80
2020-05-10,75
2020-05-17,81
2020-05-24,64
2020-05-31,53
2020-06-07,71
2020-06-14,65
2020-06-21,72
2020-06-28,64
2020-07-05,65
2020-07-12,50
2020-07-19,76
2020-07-26,85
2020-08-02,45
2020-08-09,77
2020-08-16,63
2020-08-23,80
2020-08-30,69
2020-09-06,78
2020-09-13,95
2020-09-20,81
2020-09-27,67
2020-10-04,65
2020-10-11,89
2020-10-18,76
2020-10-25,58
2020-11-01,71
2020-11-08,68
2020-11-15,73
2020-11-22,75
2020-11-29,60
2020-12-06,78
2020-12-13,74
2020-12-20,66
2020-12-27,52
