Kategorie: Alle Kategorien

Woche,depression: (Arkansas)
2020-01-05,59
2020-01-12,73
2020-01-19,76
2020-01-26,57
2020-02-02,73
2020-02-09,84
2020-02-16,86
2020-02-23,58
2020-03-01,70
2020-03-08,88
2020-03-15,89
2020-03-22,46
2020-03-29,79
2020-04-05,69
2020-04-12,62
2020-04-19,100
2020-04-26,60
2020-05-03,70
2020-05-10,39
2020-05-17,36
2020-05-24,59
2020-05-31,40
2020-06-07,49
2020-06-14,32
2020-06-21,36
2020-06-28,25
2020-07-05,36
2020-07-12,50
2020-07-19,49
2020-07-26,62
2020-08-02,44
2020-08-09,55
2020-08-16,41
2020-08-23,69
2020-08-30,62
2020-09-06,63
2020-09-13,72
2020-09-20,37
2020-09-27,40
2020-10-04,31
2020-10-11,79
2020-10-18,51
2020-10-25,51
2020-11-01,52
2020-11-08,49
2020-11-15,71
2020-11-22,37
2020-11-29,78
2020-12-06,88
2020-12-13,55
2020-12-20,28
2020-12-27,42
