Kategorie: Alle Kategorien

Woche,depression: (Kalifornien)
2020-01-05,71
2020-01-12,75
2020-01-19,78
2020-01-26,82
2020-02-02,81
2020-02-09,82
2020-02-16,91
2020-02-23,89
2020-03-01,86
2020-03-08,93
2020-03-15,97
2020-03-22,100
2020-03-29,93
2020-04-05,91
2020-04-12,87
2020-04-19,92
2020-04-26,92
2020-05-03,98
2020-05-10,85
2020-05-17,83
2020-05-24,69
2020-05-31,61
2020-06-07,66
2020-06-14,72
2020-06-21,66
2020-06-28,71
2020-07-05,78
2020-07-12,71
2020-07-19,77
2020-07-26,65
2020-08-02,66
2020-08-09,65
2020-08-16,63
2020-08-23,69
2020-08-30,67
2020-09-06,60
2020-09-13,70
2020-09-20,74
2020-09-27,68
2020-10-04,76
2020-10-11,71
2020-10-18,67
2020-10-25,74
2020-11-01,55
2020-11-08,76
2020-11-15,86
2020-11-22,66
2020-11-29,72
2020-12-06,73
2020-12-13,74
2020-12-20,53
2020-12-27,49
