Kategorie: Alle Kategorien

Woche,depression: (Colorado)
2020-01-05,62
2020-01-12,78
2020-01-19,78
2020-01-26,74
2020-02-02,100
2020-02-09,67
2020-02-16,78
2020-02-23,89
2020-03-01,68
2020-03-08,67
2020-03-15,91
2020-03-22,86
2020-03-29,67
2020-04-05,84
2020-04-12,74
2020-04-19,88
2020-04-26,84
2020-05-03,55
2020-05-10,66
2020-05-17,59
2020-05-24,64
2020-05-31,46
2020-06-07,53
2020-06-14,70
2020-06-21,49
2020-06-28,62
2020-07-05,76
2020-07-12,61
2020-07-19,41
2020-07-26,46
2020-08-02,60
2020-08-09,55
2020-08-16,56
2020-08-23,41
2020-08-30,66
2020-09-06,61
2020-09-13,63
2020-09-20,53
2020-09-27,82
2020-10-04,81
2020-10-11,62
2020-10-18,59
2020-10-25,76
2020-11-01,48
2020-11-08,58
2020-11-15,55
2020-11-22,66
2020-11-29,51
2020-12-06,60
2020-12-13,60
2020-12-20,55
2020-12-27,63
