Kategorie: Alle Kategorien

Woche,depression: (Connecticut)
2020-01-05,76
2020-01-12,78
2020-01-19,67
2020-01-26,80
2020-02-02,59
2020-02-09,86
2020-02-16,71
2020-02-23,59
2020-03-01,78
2020-03-08,69
2020-03-15,79
2020-03-22,86
2020-03-29,68
2020-04-05,75
2020-04-12,70
2020-04-19,93
2020-04-26,100
2020-05-03,61
2020-05-10,70
2020-05-17,47
2020-05-24,55
2020-05-31,77
2020-06-07,64
2020-06-14,56
2020-06-21,42
2020-06-28,49
2020-07-05,60
2020-07-12,36
2020-07-19,46
2020-07-26,74
2020-08-02,44
2020-08-09,42
2020-08-16,61
2020-08-23,48
2020-08-30,51
2020-09-06,49
2020-09-13,54
2020-09-20,67
2020-09-27,55
2020-10-04,56
2020-10-11,49
2020-10-18,81
2020-10-25,59
2020-11-01,43
2020-11-08,70
2020-11-15,67
2020-11-22,43
2020-11-29,79
2020-12-06,66
2020-12-13,40
2020-12-20,56
2020-12-27,36
