Kategorie: Alle Kategorien

Woche,depression: (Delaware)
2020-01-05,67
2020-01-12,43
2020-01-19,61
2020-01-26,74
2020-02-02,73
2020-02-09,96
2020-02-16,35
2020-02-23,49
2020-03-01,28
2020-03-08,35
2020-03-15,67
2020-03-22,51
2020-03-29,68
2020-04-05,94
2020-04-12,61
2020-04-19,54
2020-04-26,49
2020-05-03,35
2020-05-10,87
2020-05-17,73
2020-05-24,19
2020-05-31,73
2020-06-07,37
2020-06-14,25
2020-06-21,39
2020-06-28,39
2020-07-05,40
2020-07-12,48
2020-07-19,100
2020-07-26,47
2020-08-02,41
2020-08-09,47
2020-08-16,27
2020-08-23,47
2020-08-30,33
2020-09-06,33
2020-09-13,51
2020-09-20,26
2020-09-27,48
2020-10-04,72
2020-10-11,60
2020-10-18,39
2020-10-25,15
2020-11-01,52
2020-11-08,51
2020-11-15,67
2020-11-22,69
2020-11-29,43
2020-12-06,44
2020-12-13,59
2020-12-20,94
2020-12-27,15
