Kategorie: Alle Kategorien

Woche,depression: (Florida)
2020-01-05,54
2020-01-12,57
2020-01-19,53
2020-01-26,49
2020-02-02,51
2020-02-09,55
2020-02-16,58
2020-02-23,63
2020-03-01,58
2020-03-08,62
2020-03-15,56
2020-03-22,57
2020-03-29,67
2020-04-05,67
2020-04-12,76
2020-04-19,65
2020-04-26,64
2020-05-03,64
2020-05-10,69
2020-05-17,66
2020-05-24,51
2020-05-31,53
2020-06-07,50
2020-06-14,47
2020-06-21,52
2020-06-28,40
2020-07-05,47
2020-07-12,46
2020-07-19,66
2020-07-26,60
2020-08-02,60
2020-08-09,46
2020-08-16,100
2020-08-23,53
2020-08-30,49
2020-09-06,73
2020-09-13,61
2020-09-20,58
2020-09-27,57
2020-10-04,66
2020-10-11,61
2020-10-18,59
2020-10-25,52
2020-11-01,50
2020-11-08,58
2020-11-15,56
2020-11-22,47
2020-11-29,55
2020-12-06,53
2020-12-13,46
2020-12-20,34
2020-12-27,41
