Kategorie: Alle Kategorien

Woche,depression: (Georgia)
2020-01-05,67
2020-01-12,71
2020-01-19,68
2020-01-26,79
2020-02-02,81
2020-02-09,79
2020-02-16,65
2020-02-23,71
2020-03-01,70
2020-03-08,77
2020-03-15,100
2020-03-22,89
2020-03-29,91
2020-04-05,68
2020-04-12,73
2020-04-19,72
2020-04-26,77
2020-05-03,81
2020-05-10,64
2020-05-17,53
2020-05-24,53
2020-05-31,60
2020-06-07,55
2020-06-14,60
2020-06-21,59
2020-06-28,54
2020-07-05,58
2020-07-12,60
2020-07-19,67
2020-07-26,50
2020-08-02,60
2020-08-09,52
2020-08-16,75
2020-08-23,68
2020-08-30,52
2020-09-06,63
2020-09-13,69
2020-09-20,60
2020-09-27,67
2020-10-04,70
2020-10-11,62
2020-10-18,74
2020-10-25,73
2020-11-01,54
2020-11-08,73
2020-11-15,82
2020-11-22,66
2020-11-29,72
2020-12-06,65
2020-12-13,71
2020-12-20,47
2020-12-27,57
