Kategorie: Alle Kategorien

Woche,depression: (Hawaii)
2020-01-05,45
2020-01-12,50
2020-01-19,68
2020-01-26,56
2020-02-02,63
2020-02-09,39
2020-02-16,39
2020-02-23,48
2020-03-01,42
2020-03-08,57
2020-03-15,72
2020-03-22,42
2020-03-29,76
2020-04-05,26
2020-04-12,35
2020-04-19,64
2020-04-26,56
2020-05-03,77
2020-05-10,84
2020-05-17,53
2020-05-24,34
2020-05-31,55
2020-06-07,28
2020-06-14,79
2020-06-21,35
2020-06-28,47
2020-07-05,42
2020-07-12,35
2020-07-19,18
2020-07-26,29
2020-08-02,35
2020-08-09,17
2020-08-16,34
2020-08-23,57
2020-08-30,41
2020-09-06,47
2020-09-13,62
2020-09-20,65
2020-09-27,76
2020-10-04,56
2020-10-11,47
2020-10-18,33
2020-10-25,39
2020-11-01,28
2020-11-08,25
2020-11-15,56
2020-11-22,37
2020-11-29,100
2020-12-06,13
2020-12-13,27
2020-12-20,55
2020-12-27,32
