Kategorie: Alle Kategorien

Woche,depression: (Idaho)
2020-01-05,49
2020-01-12,55
2020-01-19,29
2020-01-26,100
2020-02-02,52
2020-02-09,77
2020-02-16,57
2020-02-23,68
2020-03-01,54
2020-03-08,61
2020-03-15,81
2020-03-22,70
2020-03-29,79
2020-04-05,69
2020-04-12,90
2020-04-19,44
2020-04-26,61
2020-05-03,57
2020-05-10,54
2020-05-17,66
2020-05-24,54
2020-05-31,13
2020-06-07,64
2020-06-14,83
2020-06-21,77
2020-06-28,23
2020-07-05,51
2020-07-12,46
2020-07-19,37
2020-07-26,47
2020-08-02,33
2020-08-09,33
2020-08-16,50
2020-08-23,48
2020-08-30,31
2020-09-06,58
2020-09-13,75
2020-09-20,48
2020-09-27,37
2020-10-04,53
2020-10-11,79
2020-10-18,58
2020-10-25,87
2020-11-01,58
2020-11-08,34
2020-11-15,35
2020-11-22,15
2020-11-29,50
2020-12-06,75
2020-12-13,51
2020-12-20,22
2020-12-27,36
