Kategorie: Alle Kategorien

Woche,depression: (Illinois)
2020-01-05,76
2020-01-12,88
2020-01-19,82
2020-01-26,91
2020-02-02,91
2020-02-09,82
2020-02-16,88
2020-02-23,93
2020-03-01,87
2020-03-08,87
2020-03-15,80
2020-03-22,80
2020-03-29,85
2020-04-05,83
2020-04-12,100
2020-04-19,81
2020-04-26,82
2020-05-03,74
2020-05-10,88
2020-05-17,75
2020-05-24,56
2020-05-31,50
2020-06-07,53
2020-06-14,59
2020-06-21,57
2020-06-28,58
2020-07-05,63
2020-07-12,53
2020-07-19,61
2020-07-26,60
2020-08-02,58
2020-08-09,56
2020-08-16,60
2020-08-23,51
2020-08-30,61
2020-09-06,61
2020-09-13,63
2020-09-20,67
2020-09-27,53
2020-10-04,59
2020-10-11,67
2020-10-18,66
2020-10-25,68
2020-11-01,56
2020-11-08,77
2020-11-15,81
2020-11-22,50
2020-11-29,61
2020-12-06,63
2020-12-13,69
2020-12-20,42
2020-12-27,59
