Kategorie: Alle Kategorien

Woche,depression: (Indiana)
2020-01-05,77
2020-01-12,72
2020-01-19,86
2020-01-26,100
2020-02-02,80
2020-02-09,61
2020-02-16,68
2020-02-23,85
2020-03-01,98
2020-03-08,93
2020-03-15,69
2020-03-22,74
2020-03-29,59
2020-04-05,84
2020-04-12,77
2020-04-19,80
2020-04-26,65
2020-05-03,83
2020-05-10,85
2020-05-17,67
2020-05-24,42
2020-05-31,67
2020-06-07,52
2020-06-14,50
2020-06-21,72
2020-06-28,61
2020-07-05,66
2020-07-12,75
2020-07-19,49
2020-07-26,57
2020-08-02,56
2020-08-09,57
2020-08-16,68
2020-08-23,68
2020-08-30,64
2020-09-06,56
2020-09-13,80
2020-09-20,66
2020-09-27,80
2020-10-04,78
2020-10-11,54
2020-10-18,41
2020-10-25,84
2020-11-01,50
2020-11-08,78
2020-11-15,60
2020-11-22,53
2020-11-29,54
2020-12-06,76
2020-12-13,75
2020-12-20,44
2020-12-27,60
