Kategorie: Alle Kategorien

Woche,depression: (Iowa)
2020-01-05,91
2020-01-12,53
2020-01-19,62
2020-01-26,85
2020-02-02,70
2020-02-09,89
2020-02-16,74
2020-02-23,90
2020-03-01,82
2020-03-08,82
2020-03-15,57
2020-03-22,59
2020-03-29,76
2020-04-05,65
2020-04-12,91
2020-04-19,81
2020-04-26,100
2020-05-03,69
2020-05-10,74
2020-05-17,49
2020-05-24,80
2020-05-31,53
2020-06-07,41
2020-06-14,53
2020-06-21,67
2020-06-28,80
2020-07-05,52
2020-07-12,69
2020-07-19,49
2020-07-26,56
2020-08-02,67
2020-08-09,46
2020-08-16,71
2020-08-23,44
2020-08-30,68
2020-09-06,41
2020-09-13,64
2020-09-20,48
2020-09-27,85
2020-10-04,71
2020-10-11,70
2020-10-18,91
2020-10-25,38
2020-11-01,47
2020-11-08,67
2020-11-15,66
2020-11-22,48
2020-11-29,45
2020-12-06,85
2020-12-13,89
2020-12-20,52
2020-12-27,59
