Kategorie: Alle Kategorien

Woche,depression: (Kansas)
2020-01-05,70
2020-01-12,66
2020-01-19,63
2020-01-26,74
2020-02-02,75
2020-02-09,68
2020-02-16,73
2020-02-23,87
2020-03-01,97
2020-03-08,83
2020-03-15,62
2020-03-22,82
2020-03-29,79
2020-04-05,100
2020-04-12,85
2020-04-19,87
2020-04-26,44
2020-05-03,72
2020-05-10,93
2020-05-17,63
2020-05-24,62
2020-05-31,41
2020-06-07,55
2020-06-14,50
2020-06-21,65
2020-06-28,45
2020-07-05,60
2020-07-12,36
2020-07-19,26
2020-07-26,75
2020-08-02,67
2020-08-09,49
2020-08-16,52
2020-08-23,50
2020-08-30,56
2020-09-06,78
2020-09-13,55
2020-09-20,91
2020-09-27,88
2020-10-04,53
2020-10-11,62
2020-10-18,97
2020-10-25,73
2020-11-01,33
2020-11-08,69
2020-11-15,51
2020-11-22,55
2020-11-29,74
2020-12-06,26
2020-12-13,54
2020-12-20,58
2020-12-27,51
