Kategorie: Alle Kategorien

Woche,depression: (Kentucky)
2020-01-05,62
2020-01-12,79
2020-01-19,47
2020-01-26,63
2020-02-02,61
2020-02-09,83
2020-02-16,68
2020-02-23,71
2020-03-01,72
2020-03-08,63
2020-03-15,62
2020-03-22,100
2020-03-29,69
2020-04-05,56
2020-04-12,66
2020-04-19,57
2020-04-26,62
2020-05-03,55
2020-05-10,66
2020-05-17,45
2020-05-24,43
2020-05-31,45
2020-06-07,43
2020-06-14,41
2020-06-21,43
2020-06-28,43
2020-07-05,63
2020-07-12,49
2020-07-19,57
2020-07-26,44
2020-08-02,42
2020-08-09,42
2020-08-16,68
2020-08-23,57
2020-08-30,55
2020-09-06,54
2020-09-13,60
2020-09-20,58
2020-09-27,77
2020-10-04,53
2020-10-11,60
2020-10-18,59
2020-10-25,74
2020-11-01,28
2020-11-08,64
2020-11-15,57
2020-11-22,46
2020-11-29,58
2020-12-06,53
2020-12-13,52
2020-12-20,39
2020-12-27,53
