Kategorie: Alle Kategorien

Woche,depression: (Louisiana)
2020-01-05,60
2020-01-12,68
2020-01-19,61
2020-01-26,59
2020-02-02,60
2020-02-09,74
2020-02-16,77
2020-02-23,53
2020-03-01,59
2020-03-08,85
2020-03-15,70
2020-03-22,69
2020-03-29,64
2020-04-05,71
2020-04-12,63
2020-04-19,61
2020-04-26,57
2020-05-03,52
2020-05-10,59
2020-05-17,76
2020-05-24,43
2020-05-31,68
2020-06-07,36
2020-06-14,60
2020-06-21,41
2020-06-28,52
2020-07-05,34
2020-07-12,29
2020-07-19,59
2020-07-26,48
2020-08-02,49
2020-08-09,58
2020-08-16,70
2020-08-23,56
2020-08-30,58
2020-09-06,100
2020-09-13,61
2020-09-20,37
2020-09-27,60
2020-10-04,59
2020-10-11,70
2020-10-18,49
2020-10-25,68
2020-11-01,61
2020-11-08,65
2020-11-15,50
2020-11-22,32
2020-11-29,44
2020-12-06,55
2020-12-13,61
2020-12-20,48
2020-12-27,36
