Kategorie: Alle Kategorien

Woche,depression: (Maine)
2020-01-05,71
2020-01-12,52
2020-01-19,49
2020-01-26,74
2020-02-02,72
2020-02-09,63
2020-02-16,66
2020-02-23,70
2020-03-01,55
2020-03-08,100
2020-03-15,66
2020-03-22,40
2020-03-29,73
2020-04-05,44
2020-04-12,89
2020-04-19,66
2020-04-26,59
2020-05-03,56
2020-05-10,50
2020-05-17,23
2020-05-24,55
2020-05-31,57
2020-06-07,32
2020-06-14,44
2020-06-21,42
2020-06-28,27
2020-07-05,60
2020-07-12,47
2020-07-19,33
2020-07-26,46
2020-08-02,51
2020-08-09,51
2020-08-16,33
2020-08-23,32
2020-08-30,56
2020-09-06,23
2020-09-13,62
2020-09-20,75
2020-09-27,69
2020-10-04,36
2020-10-11,40
2020-10-18,24
2020-10-25,35
2020-11-01,47
2020-11-08,39
2020-11-15,34
2020-11-22,40
2020-11-29,73
2020-12-06,40
2020-12-13,18
2020-12-20,37
2020-12-27,61
