Kategorie: Alle Kategorien

Woche,depression: (Maryland)
2020-01-05,73
2020-01-12,71
2020-01-19,81
2020-01-26,67
2020-02-02,79
2020-02-09,74
2020-02-16,77
2020-02-23,93
2020-03-01,80
2020-03-08,74
2020-03-15,69
2020-03-22,91
2020-03-29,84
2020-04-05,85
2020-04-12,78
2020-04-19,79
2020-04-26,87
2020-05-03,100
2020-05-10,67
2020-05-17,72
2020-05-24,62
2020-05-31,34
2020-06-07,58
2020-06-14,52
2020-06-21,50
2020-06-28,54
2020-07-05,54
2020-07-12,48
2020-07-19,56
2020-07-26,58
2020-08-02,61
2020-08-09,59
2020-08-16,55
2020-08-23,61
2020-08-30,61
2020-09-06,63
2020-09-13,50
2020-09-20,72
2020-09-27,62
2020-10-04,78
2020-10-11,83
2020-10-18,68
2020-10-25,81
2020-11-01,57
2020-11-08,50
2020-11-15,52
2020-11-22,61
2020-11-29,73
2020-12-06,74
2020-12-13,64
2020-12-20,48
2020-12-27,55
