Kategorie: Alle Kategorien

Woche,depression: (Massachusetts)
2020-01-05,90
2020-01-12,96
2020-01-19,98
2020-01-26,69
2020-02-02,86
2020-02-09,89
2020-02-16,77
2020-02-23,89
2020-03-01,95
2020-03-08,89
2020-03-15,94
2020-03-22,92
2020-03-29,86
2020-04-05,91
2020-04-12,93
2020-04-19,100
2020-04-26,88
2020-05-03,85
2020-05-10,78
2020-05-17,91
2020-05-24,62
2020-05-31,67
2020-06-07,54
2020-06-14,71
2020-06-21,51
2020-06-28,80
2020-07-05,72
2020-07-12,58
2020-07-19,66
2020-07-26,71
2020-08-02,62
2020-08-09,72
2020-08-16,72
2020-08-23,58
2020-08-30,60
2020-09-06,69
2020-09-13,64
2020-09-20,63
2020-09-27,67
2020-10-04,80
2020-10-11,70
2020-10-18,73
2020-10-25,70
2020-11-01,71
2020-11-08,69
2020-11-15,78
2020-11-22,70
2020-11-29,71
2020-12-06,64
2020-12-13,70
2020-12-20,57
2020-12-27,68
