Kategorie: Alle Kategorien

Woche,depression: (Michigan)
2020-01-05,80
2020-01-12,83
2020-01-19,77
2020-01-26,100
2020-02-02,79
2020-02-09,91
2020-02-16,73
2020-02-23,88
2020-03-01,73
2020-03-08,87
2020-03-15,76
2020-03-22,83
2020-03-29,86
2020-04-05,86
2020-04-12,77
2020-04-19,87
2020-04-26,73
2020-05-03,92
2020-05-10,83
2020-05-17,57
2020-05-24,66
2020-05-31,66
2020-06-07,70
2020-06-14,67
2020-06-21,54
2020-06-28,54
2020-07-05,57
2020-07-12,54
2020-07-19,61
2020-07-26,41
2020-08-02,70
2020-08-09,48
2020-08-16,56
2020-08-23,57
2020-08-30,62
2020-09-06,55
2020-09-13,68
2020-09-20,84
2020-09-27,73
2020-10-04,50
2020-10-11,71
2020-10-18,49
2020-10-25,63
2020-11-01,67
2020-11-08,79
2020-11-15,72
2020-11-22,51
2020-11-29,68
2020-12-06,74
2020-12-13,71
2020-12-20,49
2020-12-27,83
