Kategorie: Alle Kategorien

Woche,depression: (Minnesota)
2020-01-05,58
2020-01-12,72
2020-01-19,57
2020-01-26,83
2020-02-02,61
2020-02-09,86
2020-02-16,80
2020-02-23,80
2020-03-01,76
2020-03-08,73
2020-03-15,71
2020-03-22,94
2020-03-29,78
2020-04-05,80
2020-04-12,100
2020-04-19,82
2020-04-26,76
2020-05-03,82
2020-05-10,79
2020-05-17,66
2020-05-24,52
2020-05-31,67
2020-06-07,52
2020-06-14,60
2020-06-21,45
2020-06-28,45
2020-07-05,56
2020-07-12,57
2020-07-19,40
2020-07-26,55
2020-08-02,61
2020-08-09,46
2020-08-16,57
2020-08-23,46
2020-08-30,58
2020-09-06,53
2020-09-13,74
2020-09-20,59
2020-09-27,62
2020-10-04,65
2020-10-11,74
2020-10-18,71
2020-10-25,51
2020-11-01,56
2020-11-08,59
2020-11-15,69
2020-11-22,67
2020-11-29,65
2020-12-06,59
2020-12-13,56
2020-12-20,49
2020-12-27,37
