Kategorie: Alle Kategorien

Woche,depression: (Mississippi)
2020-01-05,48
2020-01-12,41
2020-01-19,87
2020-01-26,75
2020-02-02,82
2020-02-09,67
2020-02-16,66
2020-02-23,62
2020-03-01,76
2020-03-08,79
2020-03-15,58
2020-03-22,100
2020-03-29,66
2020-04-05,71
2020-04-12,56
2020-04-19,84
2020-04-26,62
2020-05-03,54
2020-05-10,48
2020-05-17,78
2020-05-24,50
2020-05-31,74
2020-06-07,44
2020-06-14,27
2020-06-21,65
2020-06-28,32
2020-07-05,36
2020-07-12,52
2020-07-19,67
2020-07-26,48
2020-08-02,40
2020-08-09,54
2020-08-16,64
2020-08-23,46
2020-08-30,85
2020-09-06,57
2020-09-13,72
2020-09-20,73
2020-09-27,55
2020-10-04,78
2020-10-11,83
2020-10-18,91
2020-10-25,56
2020-11-01,71
2020-11-08,81
2020-11-15,55
2020-11-22,65
2020-11-29,49
2020-12-06,46
2020-12-13,59
2020-12-20,36
2020-12-27,46
