Kategorie: Alle Kategorien

Woche,depression: (Missouri)
2020-01-05,100
2020-01-12,66
2020-01-19,51
2020-01-26,84
2020-02-02,59
2020-02-09,83
2020-02-16,52
2020-02-23,89
2020-03-01,86
2020-03-08,77
2020-03-15,72
2020-03-22,75
2020-03-29,86
2020-04-05,87
2020-04-12,75
2020-04-19,81
2020-04-26,54
2020-05-03,75
2020-05-10,62
2020-05-17,52
2020-05-24,60
2020-05-31,54
2020-06-07,41
2020-06-14,54
2020-06-21,58
2020-06-28,53
2020-07-05,66
2020-07-12,42
2020-07-19,59
2020-07-26,61
2020-08-02,56
2020-08-09,37
2020-08-16,46
2020-08-23,64
2020-08-30,57
2020-09-06,73
2020-09-13,76
2020-09-20,77
2020-09-27,63
2020-10-04,51
2020-10-11,57
2020-10-18,68
2020-10-25,56
2020-11-01,53
2020-11-08,59
2020-11-15,57
2020-11-22,56
2020-11-29,76
2020-12-06,74
2020-12-13,77
2020-12-20,47
2020-12-27,37
