Kategorie: Alle Kategorien

Woche,depression: (Montana)
2020-01-05,77
2020-01-12,73
2020-01-19,76
2020-01-26,75
2020-02-02,58
2020-02-09,41
2020-02-16,65
2020-02-23,79
2020-03-01,87
2020-03-08,85
2020-03-15,38
2020-03-22,62
2020-03-29,40
2020-04-05,71
2020-04-12,60
2020-04-19,69
2020-04-26,70
2020-05-03,64
2020-05-10,100
2020-05-17,29
2020-05-24,47
2020-05-31,66
2020-06-07,22
2020-06-14,15
2020-06-21,31
2020-06-28,76
2020-07-05,0
2020-07-12,63
2020-07-19,39
2020-07-26,24
2020-08-02,69
2020-08-09,31
2020-08-16,46
2020-08-23,37
2020-08-30,22
2020-09-06,37
2020-09-13,49
2020-09-20,73
2020-09-27,55
2020-10-04,16
2020-10-11,35
2020-10-18,76
2020-10-25,17
2020-11-01,14
2020-11-08,8
2020-11-15,17
2020-11-22,44
2020-11-29,34
2020-12-06,69
2020-12-13,35
2020-12-20,56
2020-12-27,17
