Kategorie: Alle Kategorien

Woche,depression: (Nebraska)
2020-01-05,36
2020-01-12,54
2020-01-19,31
2020-01-26,72
2020-02-02,83
2020-02-09,72
2020-02-16,77
2020-02-23,59
2020-03-01,100
2020-03-08,63
2020-03-15,70
2020-03-22,77
2020-03-29,54
2020-04-05,64
2020-04-12,58
2020-04-19,50
2020-04-26,79
2020-05-03,47
2020-05-10,84
2020-05-17,40
2020-05-24,51
2020-05-31,29
2020-06-07,34
2020-06-14,24
2020-06-21,51
2020-06-28,30
2020-07-05,33
2020-07-12,40
2020-07-19,30
2020-07-26,33
2020-08-02,26
2020-08-09,43
2020-08-16,38
2020-08-23,26
2020-08-30,53
2020-09-06,62
2020-09-13,43
2020-09-20,61
2020-09-27,51
2020-10-04,33
2020-10-11,41
2020-10-18,43
2020-10-25,32
2020-11-01,45
2020-11-08,60
2020-11-15,47
2020-11-22,19
2020-11-29,50
2020-12-06,73
2020-12-13,78
2020-12-20,25
2020-12-27,23
