Kategorie: Alle Kategorien

Woche,depression: (Nevada)
2020-01-05,44
2020-01-12,62
2020-01-19,67
2020-01-26,67
2020-02-02,60
2020-02-09,63
2020-02-16,59
2020-02-23,68
2020-03-01,66
2020-03-08,83
2020-03-15,100
2020-03-22,86
2020-03-29,58
2020-04-05,88
2020-04-12,55
2020-04-19,66
2020-04-26,48
2020-05-03,66
2020-05-10,87
2020-05-17,50
2020-05-24,54
2020-05-31,36
2020-06-07,62
2020-06-14,53
2020-06-21,57
2020-06-28,44
2020-07-05,65
2020-07-12,59
2020-07-19,54
2020-07-26,56
2020-08-02,56
2020-08-09,61
2020-08-16,44
2020-08-23,86
2020-08-30,69
2020-09-06,65
2020-09-13,69
2020-09-20,63
2020-09-27,31
2020-10-04,64
2020-10-11,62
2020-10-18,92
2020-10-25,57
2020-11-01,38
2020-11-08,94
2020-11-15,69
2020-11-22,58
2020-11-29,80
2020-12-06,78
2020-12-13,73
2020-12-20,65
2020-12-27,21
