Kategorie: Alle Kategorien

Woche,depression: (New Hampshire)
2020-01-05,84
2020-01-12,46
2020-01-19,67
2020-01-26,65
2020-02-02,80
2020-02-09,75
2020-02-16,73
2020-02-23,30
2020-03-01,85
2020-03-08,50
2020-03-15,73
2020-03-22,63
2020-03-29,80
2020-04-05,48
2020-04-12,66
2020-04-19,90
2020-04-26,48
2020-05-03,90
2020-05-10,68
2020-05-17,54
2020-05-24,25
2020-05-31,53
2020-06-07,45
2020-06-14,37
2020-06-21,48
2020-06-28,42
2020-07-05,43
2020-07-12,27
2020-07-19,28
2020-07-26,77
2020-08-02,55
2020-08-09,27
2020-08-16,44
2020-08-23,64
2020-08-30,65
2020-09-06,37
2020-09-13,42
2020-09-20,53
2020-09-27,45
2020-10-04,75
2020-10-11,74
2020-10-18,44
2020-10-25,44
2020-11-01,42
2020-11-08,72
2020-11-15,24
2020-11-22,55
2020-11-29,100
2020-12-06,54
2020-12-13,49
2020-12-20,39
2020-12-27,30
