Kategorie: Alle Kategorien

Woche,depression: (New Jersey)
2020-01-05,84
2020-01-12,91
2020-01-19,75
2020-01-26,100
2020-02-02,77
2020-02-09,87
2020-02-16,63
2020-02-23,76
2020-03-01,76
2020-03-08,61
2020-03-15,84
2020-03-22,82
2020-03-29,79
2020-04-05,86
2020-04-12,74
2020-04-19,88
2020-04-26,89
2020-05-03,100
2020-05-10,77
2020-05-17,65
2020-05-24,60
2020-05-31,58
2020-06-07,58
2020-06-14,47
2020-06-21,66
2020-06-28,44
2020-07-05,54
2020-07-12,51
2020-07-19,70
2020-07-26,64
2020-08-02,66
2020-08-09,51
2020-08-16,58
2020-08-23,58
2020-08-30,57
2020-09-06,58
2020-09-13,66
2020-09-20,69
2020-09-27,74
2020-10-04,61
2020-10-11,89
2020-10-18,59
2020-10-25,58
2020-11-01,42
2020-11-08,71
2020-11-15,70
2020-11-22,67
2020-11-29,71
2020-12-06,65
2020-12-13,62
2020-12-20,52
2020-12-27,54
