Kategorie: Alle Kategorien

Woche,depression: (New Mexico)
2020-01-05,58
2020-01-12,52
2020-01-19,60
2020-01-26,62
2020-02-02,58
2020-02-09,55
2020-02-16,72
2020-02-23,39
2020-03-01,89
2020-03-08,44
2020-03-15,31
2020-03-22,61
2020-03-29,48
2020-04-05,64
2020-04-12,65
2020-04-19,62
2020-04-26,36
2020-05-03,62
2020-05-10,77
2020-05-17,55
2020-05-24,28
2020-05-31,42
2020-06-07,30
2020-06-14,38
2020-06-21,31
2020-06-28,28
2020-07-05,45
2020-07-12,42
2020-07-19,18
2020-07-26,54
2020-08-02,29
2020-08-09,38
2020-08-16,40
2020-08-23,33
2020-08-30,51
2020-09-06,48
2020-09-13,50
2020-09-20,58
2020-09-27,54
2020-10-04,100
2020-10-11,48
2020-10-18,71
2020-10-25,16
2020-11-01,19
2020-11-08,45
2020-11-15,54
2020-11-22,49
2020-11-29,47
2020-12-06,55
2020-12-13,49
2020-12-20,47
2020-12-27,16
